Package,City,Place Tourism1,Place Tourism2,Place Tourism3,Place Tourism4,Place Tourism5,Place Tourism6,Place Tourism7,Place Tourism8
7863,Semarang,Desa Wisata Lembah Kalipancur,Kampung Pelangi,Semarang Contemporary Art Gallery,,,,,
7864,Bandung,Monumen Bandung Lautan Api,Museum Pos Indonesia,Kyotoku Floating Market,Lembang Park & Zoo,Caringin Tilu,Lembang Park & Zoo,Caringin Tilu,Caringin Tilu
7865,Semarang,Brown Canyon,Flower Farm Setiya Aji,Desa Wisata Lembah Kalipancur,Kota Lama Semarang, Pantai Cipta,Kota Lama Semarang, Pantai Cipta, Pantai Cipta
7866,Yogyakarta,Geoforest Watu Payung Turunan,Kawasan Wisata Sosrowijayan,Hutan Pinus Pengger,,,,,
7867,Surabaya,Taman Barunawati,Ciputra Waterpark,Balai Kota Surabaya,Taman Keputran,,Taman Keputran,,
7868,Yogyakarta,Geoforest Watu Payung Turunan,Galaxy Waterpark Jogja,Pantai Jogan,,,,,
7869,Yogyakarta,Geoforest Watu Payung Turunan,Bunker Kaliadem Merapi,Hutan Pinus Pengger,Watu Lumbung,Pantai Jogan,Watu Lumbung,Pantai Jogan,Pantai Jogan
7870,Yogyakarta,Pantai Kukup,Alun Alun Selatan Yogyakarta,Bunker Kaliadem Merapi,,,,,
7871,Surabaya,Taman Barunawati,Ekowisata Mangrove Wonorejo,Monumen Kapal Selam,Taman Hiburan Rakyat,,Taman Hiburan Rakyat,,
7872,Semarang,Grand Maerakaca,Brown Canyon,Durian Gardens and Tourism Education Watu Simbar,Candi Gedong Songo,Flower Farm Setiya Aji,Candi Gedong Songo,Flower Farm Setiya Aji,Flower Farm Setiya Aji
7873,Semarang,Air Terjun Semirang,Indonesia Kaya Park,La Kana Chapel,,,,,
7874,Jakarta,Freedom Library,Museum Taman Prasasti,Taman Ayodya,Pulau Pramuka,,Pulau Pramuka,,
7875,Semarang,Hutan Wisata Tinjomoyo Semarang,Semarang Chinatown,Wisata Mangrove Tapak,,,,,
7876,Surabaya,Taman Ekspresi Dan Perpustakaan,Taman Barunawati,Taman Harmoni Keputih,Monumen Tugu Pahlawan,,Monumen Tugu Pahlawan,,
7877,Bandung,Water Park Bandung Indah,Taman Begonia,Taman Kupu-Kupu Cihanjuang,Gereja Katedral Santo Petrus Bandung,Situ Patenggang,Gereja Katedral Santo Petrus Bandung,Situ Patenggang,Situ Patenggang
7878,Jakarta,Bumi Perkemahan Cibubur,Alive Museum Ancol,Wisata Agro Edukatif Istana Susu Cibugary,Taman Impian Jaya Ancol,,Taman Impian Jaya Ancol,,
7879,Surabaya,Museum De Javasche Bank,Monumen Tugu Pahlawan,Kebun Bibit Wonorejo,Patung Sura dan Buaya,,Patung Sura dan Buaya,,
7880,Yogyakarta,Tugu Pal Putih Jogja,Kawasan Malioboro,Pantai Depok Jogja,Bentara Budaya Yogyakarta (BBY),,Bentara Budaya Yogyakarta (BBY),,
7881,Semarang,Water Blaster Bukit Candi Golf,Taman Pandanaran,Grand Maerakaca,Saloka Theme Park,Tugu Muda Semarang,Saloka Theme Park,Tugu Muda Semarang,Tugu Muda Semarang
7882,Yogyakarta,Kawasan Wisata Sosrowijayan,Watu Lumbung,Desa Wisata Pulesari,,,,,
7883,Semarang,Grand Maerakaca,Grand Maerakaca,Desa Wisata Lembah Kalipancur,Masjid Agung Ungaran,Kampoeng Kopi Banaran,Masjid Agung Ungaran,Kampoeng Kopi Banaran,Kampoeng Kopi Banaran
7884,Semarang,Taman Pandanaran,Wisata Lereng Kelir,Wisata Alam Wana Wisata Penggaron,,,,,
7885,Yogyakarta,Bukit Wisata Pulepayung,Kampung Wisata Taman Sari,Candi Prambanan,Pantai Jogan,,Pantai Jogan,,
7886,Bandung,Saung Angklung Mang Udjo,Trans Studio Bandung,Taman Lansia,Saung Angklung Mang Udjo,,Saung Angklung Mang Udjo,,
7887,Jakarta,Museum Macan (Modern and Contemporary Art in Nusantara),Museum Fatahillah,Museum Bank Indonesia,Pulau Bidadari,SnowBay Waterpark,Pulau Bidadari,SnowBay Waterpark,SnowBay Waterpark
7888,Surabaya,Taman Ekspresi Dan Perpustakaan,Pantai Ria Kenjeran,Taman Keputran,Museum Sepuluh Nopember Kota Surabaya,,Museum Sepuluh Nopember Kota Surabaya,,
7889,Yogyakarta,Pantai Nglambor,Taman Situ Lembang,Tebing Breksi,,,,,
7890,Bandung,Situ Patenggang,Taman Begonia,Kebun Binatang Bandung,Stone Garden Geopark,Kiara Artha Park,Stone Garden Geopark,Kiara Artha Park,Kiara Artha Park
7891,Yogyakarta,Nol Kilometer Jl.Malioboro,Puncak Gunung Api Purba - Nglanggeran,Monumen Serangan Umum 1 Maret,,,,,
7892,Jakarta,Taman Agrowisata Cilangkap,Bumi Perkemahan Cibubur,Museum Taman Prasasti,Museum Bahari Jakarta,Taman Lapangan Banteng,Museum Bahari Jakarta,Taman Lapangan Banteng,Taman Lapangan Banteng
7893,Yogyakarta,Pantai Glagah,Taman Situ Lembang,Pantai Samas,,,,,
7894,Surabaya,Kenjeran Park,Taman Mundu,Museum Mpu Tantular,Kebun Binatang Surabaya,,Kebun Binatang Surabaya,,
7895,Yogyakarta,Puncak Kebun Buah Mangunan,Alun-alun Utara Keraton Yogyakarta,Goa Rancang Kencono,,,,,
7896,Semarang,Durian Gardens and Tourism Education Watu Simbar,Benteng Pendem,Kampung Batik Gedong Semarang,Wisata Alam Wana Wisata Penggaron,Kampung Pelangi,Wisata Alam Wana Wisata Penggaron,Kampung Pelangi,Kampung Pelangi
7897,Yogyakarta,Bunker Kaliadem Merapi,Kampung Wisata Taman Sari,Jurang Tembelan Kanigoro,Pantai Glagah,,Pantai Glagah,,
7898,Surabaya,Taman Flora Bratang Surabaya,Rumah Batik,Taman Buah Surabaya,Taman Bungkul,Museum Kesehatan Dr. Adhyatma,Taman Bungkul,Museum Kesehatan Dr. Adhyatma,Museum Kesehatan Dr. Adhyatma
7899,Bandung,Kampung Korea Bandung,Taman Sejarah Bandung,Bukit Jamur,Panghegar Waterboom Bandung,Museum Pos Indonesia,Panghegar Waterboom Bandung,Museum Pos Indonesia,Museum Pos Indonesia
7900,Semarang,Flower Farm Setiya Aji,Wisata Mangrove Tapak,Kampung Pelangi,Pantai Cipta,,Pantai Cipta,,
7901,Jakarta,Pasar Seni,Galeri Nasional Indonesia,Pasar Petak Sembilan,Klenteng Jin De Yuan,,Klenteng Jin De Yuan,,
7902,Surabaya,Masjid Muhammad Cheng Hoo,Monumen Jalesveva Jayamahe,House of Sampoerna,Klenteng Sanggar Agung,,Klenteng Sanggar Agung,,
7903,Yogyakarta,Tebing Breksi,Pintoe Langit Dahromo,Hutan Pinus Pengger,Goa Rancang Kencono,,Goa Rancang Kencono,,
7904,Bandung,Taman Balai Kota Bandung,Curug Tilu Leuwi Opat,Gua Pawon,Gunung Tangkuban Perahu,Gunung Tangkuban Perahu,Gunung Tangkuban Perahu,Gunung Tangkuban Perahu,Gunung Tangkuban Perahu
7905,Bandung,Museum Pos Indonesia,Pesona Nirwana Waterpark & Cottages,Saung Angklung Mang Udjo,Gunung Papandayan,Ade Irma Suryani Nasution Traffic Park,Gunung Papandayan,Ade Irma Suryani Nasution Traffic Park,Ade Irma Suryani Nasution Traffic Park
7906,Semarang,Umbul Sidomukti,Kota Lama Semarang,GPIB Immanuel Semarang (Gereja Blenduk),Taman Srigunting,Kampung Tematik Jawi,Taman Srigunting,Kampung Tematik Jawi,Kampung Tematik Jawi
7907,Surabaya,Keraton Surabaya,Kampoeng Rawa,Hutan Pinus Kayon,Taman Kunang-Kunang,,Taman Kunang-Kunang,,
7908,Jakarta,Museum Joang 45,Masjid Istiqlal,Museum Wayang,Plaza Indonesia,,Plaza Indonesia,,
7909,Surabaya,House of Sampoerna,Taman Hiburan Rakyat,Taman Pelangi,Taman Ekspresi Dan Perpustakaan,Waterpark Kenjeran Surabaya,Taman Ekspresi Dan Perpustakaan,Waterpark Kenjeran Surabaya,Waterpark Kenjeran Surabaya
7910,Yogyakarta,Pantai Wediombo,Bendung Lepen,Geoforest Watu Payung Turunan,De Mata Museum Jogja,Tugu Pal Putih Jogja,De Mata Museum Jogja,Tugu Pal Putih Jogja,Tugu Pal Putih Jogja
7911,Yogyakarta,Pantai Krakal,Pantai Wediombo,Pantai Glagah,Pantai Glagah,,Pantai Glagah,,
7912,Semarang,Old City 3D Trick Art Museum,Kampoeng Djadhoel Semarang,La Kana Chapel,Masjid Agung Ungaran,,Masjid Agung Ungaran,,
7913,Bandung,Kampung Korea Bandung,| Peta Park,Taman Lansia,Tafso Barn,Taman Budaya Jawa Barat,Tafso Barn,Taman Budaya Jawa Barat,Taman Budaya Jawa Barat
7914,Jakarta,Museum Fatahillah,SnowBay Waterpark,Klenteng Jin De Yuan,Museum Fatahillah,,Museum Fatahillah,,
7915,Jakarta,Pulau Pari,Monas,Pulau Bidadari,Galeri Nasional Indonesia,,Galeri Nasional Indonesia,,
7916,Surabaya,Taman Kunang-Kunang,Kebun Bibit Wonorejo,Masjid Kapal Semarang,Taman Mundu,Taman Ekspresi Dan Perpustakaan,Taman Mundu,Taman Ekspresi Dan Perpustakaan,Taman Ekspresi Dan Perpustakaan
7917,Surabaya,Kebun Binatang Surabaya,Patung Buddha Empat Rupa,Taman Prestasi,Kampoeng Rawa,,Kampoeng Rawa,,
7918,Semarang,Durian Gardens and Tourism Education Watu Simbar, Pantai Cipta,Wisata Alam Wana Wisata Penggaron,Taman Tabanas,Watu Gunung Ungaran,Taman Tabanas,Watu Gunung Ungaran,Watu Gunung Ungaran
7919,Surabaya,Taman Harmoni Keputih,Hutan Bambu Keputih,| Food Junction Grand Pakuwon,Museum Kesehatan Dr. Adhyatma,,Museum Kesehatan Dr. Adhyatma,,
7920,Yogyakarta,Goa Rancang Kencono,Bukit Wisata Pulepayung,Watu Lumbung,,,,,
7921,Semarang,Kampung Pelangi,Pantai Baruna,Candi Gedong Songo,Tirto Argo Siwarak,Wisata Eling Bening,Tirto Argo Siwarak,Wisata Eling Bening,Wisata Eling Bening
7922,Surabaya,Kebun Binatang Surabaya,Kenjeran Park,Jembatan Merah,Museum Mpu Tantular,,Museum Mpu Tantular,,
7923,Surabaya,Taman Ekspresi Dan Perpustakaan,Patung Buddha Empat Rupa,Museum De Javasche Bank,Museum Kesehatan Dr. Adhyatma,,Museum Kesehatan Dr. Adhyatma,,
7924,Bandung,Curug Aseupan,Taman Film,Lawangwangi Creative Space,,,,,
7925,Surabaya,Taman Flora Bratang Surabaya,Museum Sepuluh Nopember Kota Surabaya,Jembatan Merah,Klenteng Sanggar Agung,,Klenteng Sanggar Agung,,
7926,Jakarta,Museum Fatahillah,Galeri Indonesia Kaya,Pasar Taman Puring,Museum Nasional,,Museum Nasional,,
7927,Jakarta,Taman Agrowisata Cilangkap,Bumi Perkemahan Cibubur,Pasar Taman Puring,Pasar Seni,,Pasar Seni,,
7928,Semarang,Semarang Gallery,Kampung Pelangi,Kampung Tematik Jawi,Wisata Eling Bening,Indonesia Kaya Park,Wisata Eling Bening,Indonesia Kaya Park,Indonesia Kaya Park
7929,Yogyakarta,Puncak Segoro,Pantai Samas,Candi Prambanan,,,,,
7930,Jakarta,Pulau Pelangi,Jakarta Aquarium dan Safari,Freedom Library,Galeri Indonesia Kaya,Tugu Proklamasi,Galeri Indonesia Kaya,Tugu Proklamasi,Tugu Proklamasi
7931,Jakarta,Klenteng Jin De Yuan,Taman Suropati,Museum Tekstil,Alive Museum Ancol,,Alive Museum Ancol,,
7932,Semarang,Kampoeng Djadhoel Semarang,Desa Wisata Lembah Kalipancur, Pantai Cipta,Taman Srigunting,Candi Gedong Songo,Taman Srigunting,Candi Gedong Songo,Candi Gedong Songo
7933,Surabaya,Patung Buddha Empat Rupa,Masjid Nasional Al-Akbar,Atlantis Land Surabaya,Museum De Javasche Bank,,Museum De Javasche Bank,,
7934,Jakarta,Alive Museum Ancol,Taman Cattleya,Museum Joang 45,Taman Lapangan Banteng,,Taman Lapangan Banteng,,
7935,Jakarta,Pulau Tidung,Taman Suropati,Taman Ayodya,Taman Lapangan Banteng,Taman Lapangan Banteng,Taman Lapangan Banteng,Taman Lapangan Banteng,Taman Lapangan Banteng
7936,Surabaya,Taman Kunang-Kunang,Kampoeng Rawa,Air Mancur Menari,Taman Air Mancur Menari Kenjeran,,Taman Air Mancur Menari Kenjeran,,
7937,Yogyakarta,Desa Wisata Pulesari,Taman Pelangi Jogja,Monumen Serangan Umum 1 Maret,,,,,
7938,Bandung,Rainbow Garden,Museum Mandala Wangsit Siliwangi,NuArt Sculpture Park,,,,,
7939,Semarang,Candi Gedong Songo,Wisata Mangrove Tapak,Kampung Pelangi,Flower Farm Setiya Aji,Wisata Eling Bening,Flower Farm Setiya Aji,Wisata Eling Bening,Wisata Eling Bening
7940,Yogyakarta,Pantai Samas,Desa Wisata Pulesari,Pintoe Langit Dahromo,,,,,
7941,Jakarta,Museum Fatahillah,Museum Seni Rupa dan Kramik,Museum Sumpah Pemuda,Klenteng Jin De Yuan,Pulau Pari,Klenteng Jin De Yuan,Pulau Pari,Pulau Pari
7942,Surabaya,Taman Mundu,House of Sampoerna,Taman Harmoni Keputih,Taman Barunawati,,Taman Barunawati,,
7943,Yogyakarta,Kampung Wisata Taman Sari,Monumen Serangan Umum 1 Maret,Pantai Nguluran,,,,,
7944,Surabaya,Taman Bungkul,Taman Flora Bratang Surabaya,Kebun Binatang Surabaya,Kenjeran Park,,Kenjeran Park,,
7945,Semarang,Monumen Palagan Ambarawa,Kampoeng Djadhoel Semarang,Tugu Muda Semarang,Hutan Wisata Tinjomoyo Semarang,Semarang Gallery,Hutan Wisata Tinjomoyo Semarang,Semarang Gallery,Semarang Gallery
7946,Surabaya,Monumen Jalesveva Jayamahe,Museum Kesehatan Dr. Adhyatma,Ciputra Waterpark,Gereja Perawan Maria Tak Berdosa Surabaya,Surabaya North Quay,Gereja Perawan Maria Tak Berdosa Surabaya,Surabaya North Quay,Surabaya North Quay
7947,Yogyakarta,Bendung Lepen,Wisata Kalibiru,Pantai Krakal,Kawasan Wisata Sosrowijayan,Kauman Pakualaman Yogyakarta,Kawasan Wisata Sosrowijayan,Kauman Pakualaman Yogyakarta,Kauman Pakualaman Yogyakarta
7948,Surabaya,Kebun Bibit Wonorejo,Monumen Bambu Runcing Surabaya,Kampoeng Rawa,Gereja Perawan Maria Tak Berdosa Surabaya,,Gereja Perawan Maria Tak Berdosa Surabaya,,
7949,Semarang,Wisata Alam Wana Wisata Penggaron,Taman Pandanaran,Masjid Agung Ungaran,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo,Obyek Wisata Goa Kreo
7950,Surabaya,Air Mancur Menari,Gereja Perawan Maria Tak Berdosa Surabaya,Taman Barunawati,Taman Ekspresi Dan Perpustakaan,,Taman Ekspresi Dan Perpustakaan,,
7951,Bandung,Taman Budaya Jawa Barat,Museum Gedung Sate,Jendela Alam,,,,,
7952,Semarang,Flower Farm Setiya Aji,Monumen Palagan Ambarawa,Old City 3D Trick Art Museum,Desa Wisata Lembah Kalipancur,Wisata Mangrove Tapak,Desa Wisata Lembah Kalipancur,Wisata Mangrove Tapak,Wisata Mangrove Tapak
7953,Semarang,Taman Srigunting,Kampoeng Djadhoel Semarang,Indonesia Kaya Park,,,,,
7954,Jakarta,Freedom Library,Klenteng Jin De Yuan,Museum Taman Prasasti,Museum Bank Indonesia,,Museum Bank Indonesia,,
7955,Yogyakarta,Kawasan Wisata Sosrowijayan,Hutan Pinus Pengger,Kampung Wisata Kadipaten,,,,,
7956,Jakarta,Taman Lapangan Banteng,Taman Ayodya,Mall Thamrin City,Jembatan Kota Intan,,Jembatan Kota Intan,,
7957,Jakarta,Pasar Seni,Museum Wayang,Pasar Petak Sembilan,Museum Taman Prasasti,,Museum Taman Prasasti,,
7958,Surabaya,Taman Barunawati,Taman Prestasi,Taman Buah Surabaya,Taman Air Mancur Menari Kenjeran,,Taman Air Mancur Menari Kenjeran,,
7959,Jakarta,Museum Basoeki Abdullah,Freedom Library,Taman Menteng,Museum Taman Prasasti,,Museum Taman Prasasti,,
7960,Yogyakarta,Air Terjun Kedung Pedut,Taman Pelangi Yogyakarta,The World Landmarks - Merapi Park Yogyakarta,,,,,
7961,Bandung,Curug Tilu Leuwi Opat,Gunung Manglayang,Curug Cipanas,Kampung Korea Bandung,Masjid Raya Bandung,Kampung Korea Bandung,Masjid Raya Bandung,Masjid Raya Bandung
7962,Jakarta,Taman Ayodya,Museum Fatahillah,Tugu Proklamasi,Pasar Petak Sembilan,,Pasar Petak Sembilan,,
7963,Surabaya,Museum De Javasche Bank,Monumen Kapal Selam,Museum Kesehatan Dr. Adhyatma,Surabaya Museum (Gedung Siola),,Surabaya Museum (Gedung Siola),,
7964,Yogyakarta,Watu Lumbung,Puncak Segoro,Puncak Segoro,,,,,
7965,Jakarta,Taman Mini Indonesia Indah (TMII),Museum Seni Rupa dan Kramik,Plaza Indonesia,Pulau Pramuka,,Pulau Pramuka,,
7966,Surabaya,Air Mancur Menari,Masjid Muhammad Cheng Hoo,Klenteng Sanggar Agung,Hutan Pinus Kayon,Gereja Perawan Maria Tak Berdosa Surabaya,Hutan Pinus Kayon,Gereja Perawan Maria Tak Berdosa Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya
7967,Semarang,Pantai Cipta,Grand Maerakaca,Kampung Pelangi,Brown Canyon,Taman Pandanaran,Brown Canyon,Taman Pandanaran,Taman Pandanaran
7968,Semarang,Flower Farm Setiya Aji,Semarang Chinatown,Semarang Contemporary Art Gallery,Kampung Batik Gedong Semarang,Benteng Pendem,Kampung Batik Gedong Semarang,Benteng Pendem,Benteng Pendem
7969,Surabaya,Surabaya Museum (Gedung Siola),Kebun Binatang Surabaya,Kebun Binatang Surabaya,Kebun Binatang Surabaya,,Kebun Binatang Surabaya,,
7970,Surabaya,Monumen Kapal Selam,Kebun Binatang Surabaya,House of Sampoerna,Surabaya North Quay,Monumen Bambu Runcing Surabaya,Surabaya North Quay,Monumen Bambu Runcing Surabaya,Monumen Bambu Runcing Surabaya
7971,Yogyakarta,Bendung Lepen,Pantai Parangtritis,De Mata Museum Jogja,,,,,
7972,Semarang,Kota Lama Semarang,Hutan Wisata Tinjomoyo Semarang,Candi Gedong Songo,Pantai Marina,,Pantai Marina,,
7973,Surabaya,Food Junction Grand Pakuwon,Taman Pelangi,Masjid Kapal Semarang,Taman Ekspresi Dan Perpustakaan,,Taman Ekspresi Dan Perpustakaan,,
7974,Jakarta,Galeri Nasional Indonesia,Grand Indonesia Mall,Kota Tua,SnowBay Waterpark,,SnowBay Waterpark,,
7975,Jakarta,Perpustakaan Nasional,Galeri Nasional Indonesia,Wisata Kuliner Pecenongan,Museum Taman Prasasti,,Museum Taman Prasasti,,
7976,Bandung,Museum Konferensi Asia Afrika,Gua Pawon,Panghegar Waterboom Bandung,Gua Pawon,Sudut Pandang Bandung,Gua Pawon,Sudut Pandang Bandung,Sudut Pandang Bandung
7977,Surabaya,Taman Hiburan Rakyat,Kenjeran Park,Kenjeran Park,Surabaya North Quay,Patung Buddha Empat Rupa,Surabaya North Quay,Patung Buddha Empat Rupa,Patung Buddha Empat Rupa
7978,Semarang,Kota Lama Semarang,Watu Gunung Ungaran,Jembatan Biru Ambarawa,Water Blaster Bukit Candi Golf,Kampoeng Djadhoel Semarang,Water Blaster Bukit Candi Golf,Kampoeng Djadhoel Semarang,Kampoeng Djadhoel Semarang
7979,Surabaya,Jembatan Merah,Museum De Javasche Bank,Taman Harmoni Keputih,Taman Keputran,,Taman Keputran,,
7980,Bandung,Curug Dago,NuArt Sculpture Park,Curug Dago,Museum Pendidikan Nasional,Museum Geologi Bandung,Museum Pendidikan Nasional,Museum Geologi Bandung,Museum Geologi Bandung
7981,Yogyakarta,Taman Pelangi Yogyakarta,Green Village Gedangsari,Bentara Budaya Yogyakarta (BBY),,,,,
7982,Yogyakarta,Air Terjun Kedung Pedut,Pantai Patihan,Watu Lumbung,,,,,
7983,Surabaya,Taman Barunawati,Taman Prestasi,Patung Sura dan Buaya,Taman Air Mancur Menari Kenjeran,,Taman Air Mancur Menari Kenjeran,,
7984,Surabaya,Pantai Ria Kenjeran,Kebun Binatang Surabaya,Taman Hiburan Rakyat,Taman Air Mancur Menari Kenjeran,,Taman Air Mancur Menari Kenjeran,,
7985,Yogyakarta,Air Terjun Kedung Pedut,Candi Borobudur,Galaxy Waterpark Jogja,,,,,
7986,Jakarta,Pasar Tanah Abang,Museum Taman Prasasti,Taman Impian Jaya Ancol,Pasar Tanah Abang,,Pasar Tanah Abang,,
7987,Semarang,Semarang Gallery,Brown Canyon,Benteng Pendem,,,,,
7988,Jakarta,Pasar Tanah Abang,Taman Menteng,Gereja Katedral,Museum Layang-layang,,Museum Layang-layang,,
7989,Semarang,Kota Lama Semarang,Taman Kasmaran,Obyek Wisata Goa Kreo,Wisata Alam Wana Wisata Penggaron,Taman Pandanaran,Wisata Alam Wana Wisata Penggaron,Taman Pandanaran,Taman Pandanaran
7990,Bandung,Monumen Bandung Lautan Api,Curug Malela,Taman Film,Kawah Putih,Gua Pawon,Kawah Putih,Gua Pawon,Gua Pawon
7991,Semarang,Taman Srigunting,Old City 3D Trick Art Museum,Watu Gunung Ungaran,,,,,
7992,Yogyakarta,Candi Prambanan,Kebun Teh Nglinggo,Alun-alun Utara Keraton Yogyakarta,,,,,
7993,Jakarta,Taman Spathodea,Museum Joang 45,Museum Taman Prasasti,Museum Satria Mandala,,Museum Satria Mandala,,
7994,Bandung,| Peta Park,Museum Gedung Sate,Gunung Manglayang,Monumen Bandung Lautan Api,Orchid Forest Cikole,Monumen Bandung Lautan Api,Orchid Forest Cikole,Orchid Forest Cikole
7995,Bandung,Lawangwangi Creative Space,Gua Pawon,Water Park Bandung Indah,Taman Kupu-Kupu Cihanjuang,Glamping Lakeside Rancabali,Taman Kupu-Kupu Cihanjuang,Glamping Lakeside Rancabali,Glamping Lakeside Rancabali
7996,Surabaya,Taman Harmoni Keputih,Taman Kunang-Kunang,Kebun Bibit Wonorejo,Atlantis Land Surabaya,,Atlantis Land Surabaya,,
7997,Bandung,Museum Pendidikan Nasional,Masjid Al-Imtizaj,Kebun Tanaman Obat Sari Alam,Taman Sejarah Bandung,Panghegar Waterboom Bandung,Taman Sejarah Bandung,Panghegar Waterboom Bandung,Panghegar Waterboom Bandung
7998,Surabaya,Atlantis Land Surabaya,Hutan Bambu Keputih,Patung Buddha Empat Rupa,Taman Buah Surabaya,Masjid Kapal Semarang,Taman Buah Surabaya,Masjid Kapal Semarang,Masjid Kapal Semarang
7999,Surabaya,Taman Buah Surabaya,Taman Buah Surabaya,Air Mancur Menari,Museum De Javasche Bank,,Museum De Javasche Bank,,
8000,Yogyakarta,Puncak Gunung Api Purba - Nglanggeran,Pantai Ngrenehan,Bendung Lepen,,,,,
8001,Semarang,Water Blaster Bukit Candi Golf,GPIB Immanuel Semarang (Gereja Blenduk),Semarang Contemporary Art Gallery,Pura Giri Natha,Candi Gedong Songo,Pura Giri Natha,Candi Gedong Songo,Candi Gedong Songo
8002,Yogyakarta,Alun-alun Utara Keraton Yogyakarta,Watu Lumbung,Candi Prambanan,,,,,
8003,Yogyakarta,Desa Wisata Pulesari,Taman Situ Lembang,Pantai Nglambor,,,,,
8004,Bandung,Curug Anom,Orchid Forest Cikole,Chingu Cafe Little Seoul,Jendela Alam,,Jendela Alam,,
8005,Bandung,Gereja Katedral Santo Petrus Bandung,Lembang Park & Zoo,Taman Lansia,Panghegar Waterboom Bandung,Ade Irma Suryani Nasution Traffic Park,Panghegar Waterboom Bandung,Ade Irma Suryani Nasution Traffic Park,Ade Irma Suryani Nasution Traffic Park
8006,Bandung,Taman Budaya Jawa Barat,Kebun Tanaman Obat Sari Alam,Taman Kupu-Kupu Cihanjuang,,,,,
8007,Surabaya,Waterpark Kenjeran Surabaya,Klenteng Sanggar Agung,Surabaya Museum (Gedung Siola),Klenteng Sanggar Agung,Taman Barunawati,Klenteng Sanggar Agung,Taman Barunawati,Taman Barunawati
8008,Bandung,Curug Cipanas,Alun-Alun Kota Bandung,Kiara Artha Park,Museum Pos Indonesia,Taman Sejarah Bandung,Museum Pos Indonesia,Taman Sejarah Bandung,Taman Sejarah Bandung
8009,Surabaya,Gereja Perawan Maria Tak Berdosa Surabaya,Museum TNI AL Loka Jala Crana,Jembatan Merah,Masjid Kapal Semarang,Keraton Surabaya,Masjid Kapal Semarang,Keraton Surabaya,Keraton Surabaya
8010,Semarang,Brown Canyon,Kampung Batik Gedong Semarang, Pantai Cipta,Semarang Contemporary Art Gallery,Waduk Jatibarang,Semarang Contemporary Art Gallery,Waduk Jatibarang,Waduk Jatibarang
8011,Bandung, Panama Park 825,| Peta Park,Gunung Tangkuban Perahu,| Peta Park,,| Peta Park,,
8012,Surabaya,Taman Air Mancur Menari Kenjeran,Taman Prestasi,Masjid Muhammad Cheng Hoo,Monumen Bambu Runcing Surabaya,,Monumen Bambu Runcing Surabaya,,
8013,Yogyakarta,Pasar Kebon Empring Bintaran,Bentara Budaya Yogyakarta (BBY),Kawasan Wisata Sosrowijayan,Taman Situ Lembang,Bendung Lepen,Taman Situ Lembang,Bendung Lepen,Bendung Lepen
8014,Jakarta,Pasar Seni,Masjid Istiqlal,Jakarta Aquarium dan Safari,Bumi Perkemahan Cibubur,Museum Sumpah Pemuda,Bumi Perkemahan Cibubur,Museum Sumpah Pemuda,Museum Sumpah Pemuda
8015,Surabaya,Monumen Bambu Runcing Surabaya,Patung Sura dan Buaya,Taman Ekspresi Dan Perpustakaan,Kebun Binatang Surabaya,,Kebun Binatang Surabaya,,
8016,Yogyakarta,Watu Goyang,Pantai Nglambor,Goa Pindul,,,,,
8017,Bandung,Curug Anom,Museum Pendidikan Nasional,Curug Malela,Pesona Nirwana Waterpark & Cottages,Masjid Raya Bandung,Pesona Nirwana Waterpark & Cottages,Masjid Raya Bandung,Masjid Raya Bandung
8018,Jakarta,Plaza Indonesia,Bumi Perkemahan Cibubur,Galeri Nasional Indonesia,Museum Bank Indonesia,,Museum Bank Indonesia,,
8019,Bandung,Kebun Binatang Bandung,Gunung Tangkuban Perahu,Gunung Papandayan,,,,,
8020,Jakarta,Kota Tua,Museum Sumpah Pemuda,Taman Impian Jaya Ancol,Bumi Perkemahan Cibubur,,Bumi Perkemahan Cibubur,,
8021,Surabaya,Masjid Muhammad Cheng Hoo,Taman Hiburan Rakyat,Rumah Batik,Surabaya Museum (Gedung Siola),,Surabaya Museum (Gedung Siola),,
8022,Jakarta,Wisata Kuliner Pecenongan,Pulau Pari,Pasar Seni,Pulau Tidung,,Pulau Tidung,,
8023,Semarang,Umbul Sidomukti,Taman Srigunting,Saloka Theme Park,Semarang Gallery,Museum Kereta Ambarawa,Semarang Gallery,Museum Kereta Ambarawa,Museum Kereta Ambarawa
8024,Yogyakarta,Hutan Pinus Asri,Kebun Teh Nglinggo,Bendung Lepen,Tebing Breksi,,Tebing Breksi,,
